Month-Year,Republic of South Africa,Canada,USA,Bangladesh,Brunei,China,Hong Kong SAR (China),India,Indonesia,Japan,South Korea,Kuwait,Malaysia,Myanmar,Pakistan,Philippines,Saudi Arabia,Sri Lanka,Taiwan,Thailand,United Arab Emirates,Vietnam,Belgium & Luxembourg,Finland,France,Germany,Italy,Netherlands,Spain,Switzerland,United Kingdom,Australia,New Zealand
1/11/2018,2003,9568,48757,8617,5721,148753,28913,93060,135830,62199,37688,356,90916,11015,1373,53814,715,7261,20963,31697,5383,33356,2345,2302,13664,25435,5134,6716,4640,7658,42595,67816,7841
1/12/2018,5422,9849,53634,10622,8705,158460,30064,95129,180629,56355,31251,707,107261,11902,2133,58349,1196,8106,19913,30708,6350,33778,2078,3027,10952,27278,6580,6032,3451,7647,38945,94366,10718
1/1/2019,2771,11363,55086,9247,5422,237028,26779,82953,157671,56799,51164,1000,69935,10265,1589,40507,882,5799,31176,30536,4626,29621,2146,3290,14736,30525,7396,6899,3413,7952,46031,104572,11108
1/2/2019,1617,10669,47024,8623,3744,248473,32167,72060,123157,61201,45532,587,65650,9687,1178,43132,702,5505,33698,29306,4170,37778,2052,3616,16978,28626,6526,6269,3278,7567,49824,58160,6101
1/3/2019,2800,11927,54338,10199,7020,199403,29954,87219,152864,74585,33695,488,85534,12456,1305,49468,870,6306,22374,38571,7299,36769,2381,2697,16293,33439,5277,7161,3425,7330,51670,64252,7300
1/4/2019,3043,9132,45833,10474,4828,202714,43734,101109,148674,58049,30884,479,78104,14944,1152,68476,898,8971,26080,47284,7319,40572,2949,1899,15381,26467,5239,6664,4163,8562,47849,92355,12601
1/5/2019,2321,9144,46360,9127,4952,194263,32408,135265,135185,51250,34176,121,84652,12331,802,69810,351,6276,22521,40778,5081,43177,1757,1328,12833,16746,4246,5853,3056,5904,30685,73678,11711
1/6/2019,3175,6596,61476,12200,4897,188653,32077,109055,182028,50512,35847,842,83031,11974,2445,60092,2007,6537,26901,31668,6623,60427,1656,1717,10455,16196,3976,4691,3420,4742,28939,82726,13515
1/7/2019,2691,9146,65221,11691,5485,293141,41437,92564,179231,65419,47467,1378,75857,13936,2323,57634,2232,7062,41208,46745,9007,65556,3943,1810,19390,21704,6849,10434,6276,8912,39916,99002,16844
1/8/2019,2600,9687,50312,10741,4855,294905,41257,87960,137574,99197,48476,1884,78906,11166,1335,56109,2137,8583,34460,36147,10338,51216,3571,1113,24741,24400,19561,10701,11535,7032,45458,78160,13138
1/9/2019,3960,7176,45739,10015,5769,176957,32051,88897,147890,73531,40847,354,78955,10973,1323,53466,878,7394,27491,35168,5074,39768,2362,2032,13721,24945,6457,7633,5968,6334,44532,100880,14684
1/10/2019,2880,7719,46223,11750,4445,184013,31754,96703,153799,68987,44269,346,78897,12877,1240,61685,838,7304,28297,53838,5122,37369,2312,2529,14895,26216,5220,6817,4387,8048,42732,89047,12364
1/11/2019,2870,9538,56852,10270,5757,168972,36646,88481,160814,62491,39703,425,91510,11749,1349,60964,935,8266,22848,36586,6216,40549,2431,2524,14103,27418,5481,7132,4561,8058,43573,80815,8953
1/12/2019,7370,10283,63597,12102,8758,184624,37089,94395,186230,61294,35691,661,102479,12686,1711,62450,1234,9555,16595,34126,6735,34381,2116,2930,11599,24642,7305,6059,3874,7580,41351,103745,12191
